Valores relativos (por habitante) 2008	Empleo	PIB	Est Sup
Andalucía	0.378	18.15	0.159
Aragón	0.481	26.12	0.202
Asturias, Principado de	0.410	21.92	0.219
Balears, Illes	0.487	25.26	0.146
Canarias	0.414	20.28	0.158
Cantabria	0.436	22.79	0.214
Castilla y León	0.426	22.09	0.194
Castilla - La Mancha	0.402	19.10	0.139
Cataluña	0.497	27.28	0.195
Comunitat Valenciana	0.422	21.38	0.178
Extremadura	0.361	16.06	0.137
Galicia	0.426	20.79	0.188
Madrid, Comunidad de	0.537	30.77	0.257
Murcia, Región de	0.425	20.45	0.159
Navarra, Comunidad Foral de	0.530	29.46	0.236
País Vasco	0.495	30.72	0.284
Rioja, La	0.467	26.10	0.211

